Date,PM10,SO2,CO,O3,Max,Critical Component,Category,Indeks,Baik/Buruk
11/6/2020,13,0,21,25,25,O3,Good,1,Baik
11/7/2020,11,0,18,25,25,O3,Good,1,Baik
11/8/2020,16,0,19,24,24,O3,Good,1,Baik
11/9/2020,16,0,18,21,21,O3,Good,1,Baik
11/10/2020,12,0,18,22,22,O3,Good,1,Baik
11/11/2020,12,0,18,22,22,O3,Good,1,Baik
11/12/2020,19,0,20,21,21,O3,Good,1,Baik
11/13/2020,26,0,20,26,26,"PM10,O3",Good,1,Baik
11/14/2020,14,0,20,34,34,O3,Good,1,Baik
11/15/2020,21,0,24,36,36,O3,Good,1,Baik
11/16/2020,11,0,21,30,30,O3,Good,1,Baik
11/17/2020,10,0,16,29,29,O3,Good,1,Baik
11/18/2020,10,0,17,31,31,O3,Good,1,Baik
11/19/2020,14,0,18,31,31,O3,Good,1,Baik
11/20/2020,11,0,21,35,35,O3,Good,1,Baik
11/21/2020,20,0,21,31,31,O3,Good,1,Baik
11/22/2020,14,0,22,27,27,O3,Good,1,Baik
11/23/2020,14,0,20,25,25,O3,Good,1,Baik
11/24/2020,11,0,20,28,28,O3,Good,1,Baik
11/25/2020,12,0,19,34,34,O3,Good,1,Baik
11/26/2020,20,6,36,37,37,O3,Good,1,Baik
11/27/2020,12,1,20,29,29,O3,Good,1,Baik
11/28/2020,19,0,20,28,28,O3,Good,1,Baik
11/29/2020,6,0,19,26,26,O3,Good,1,Baik
11/30/2020,8,0,21,28,28,O3,Good,1,Baik
12/1/2020,18,0,23,26,26,O3,Good,1,Baik
12/2/2020,11,0,22,31,31,O3,Good,1,Baik
12/3/2020,17,0,24,38,38,O3,Good,1,Baik
12/4/2020,13,0,22,44,44,O3,Good,1,Baik
12/5/2020,22,0,27,0,27,CO,Good,1,Baik
12/6/2020,22,0,27,0,27,CO,Good,1,Baik
12/7/2020,22,0,27,0,27,CO,Good,1,Baik
12/8/2020,22,0,27,0,27,CO,Good,1,Baik
12/9/2020,22,0,27,0,27,CO,Good,1,Baik
12/10/2020,22,0,27,0,27,CO,Good,1,Baik
12/11/2020,21,0,28,74,74,O3,Moderate,2,Baik
12/12/2020,9,0,19,55,55,O3,Moderate,2,Baik
12/13/2020,10,1,19,63,63,O3,Moderate,2,Baik
12/14/2020,8,0,19,59,59,O3,Moderate,2,Baik
12/15/2020,13,2,22,51,51,O3,Moderate,2,Baik
12/16/2020,11,0,18,61,61,O3,Moderate,2,Baik
12/17/2020,8,0,16,61,61,O3,Moderate,2,Baik
12/18/2020,7,0,19,74,74,O3,Moderate,2,Baik
12/19/2020,8,1,19,68,68,O3,Moderate,2,Baik
12/20/2020,8,0,16,78,78,O3,Moderate,2,Baik
12/21/2020,14,1,16,71,71,O3,Moderate,2,Baik
12/22/2020,26,0,16,81,81,O3,Moderate,2,Baik
12/23/2020,17,0,16,16,17,PM10,Good,1,Baik
12/24/2020,22,4,20,13,22,PM10,Good,1,Baik
12/25/2020,18,2,16,5,18,PM10,Good,1,Baik
12/26/2020,15,2,18,1,18,CO,Good,1,Baik
12/27/2020,12,1,24,0,24,CO,Good,1,Baik
12/28/2020,9,0,16,2,16,CO,Good,1,Baik
12/29/2020,9,0,15,20,20,O3,Good,1,Baik
12/30/2020,6,0,17,10,17,CO,Good,1,Baik
12/31/2020,5,0,17,20,20,O3,Good,1,Baik
